label,filename0,filename1,percent,percent0,percent1,lines,plagiarized
99,A2016/Z1/Z1/student6874,A2016/Z1/Z1/student9864,99,99,99,136,0
99,A2016/Z4/Z2/student7125,A2016/Z4/Z2/student2254,99,99,99,165,0
99,A2016/Z4/Z2/student4082,A2016/Z4/Z2/student7597,99,99,99,98,0
99,A2016/Z4/Z2/student2351,A2016/Z4/Z2/student7180,99,99,99,130,0
99,A2016/Z4/Z2/student2267,A2016/Z4/Z2/student5403,99,99,99,120,0
99,A2016/Z4/Z2/student9315,A2016/Z4/Z2/student4766,99,99,99,155,0
99,A2016/Z4/Z2/student2142,A2016/Z4/Z2/student5961,99,99,99,133,0
99,A2016/Z4/Z2/student9463,A2016/Z4/Z2/student4389,99,99,99,117,0
99,A2016/Z4/Z2/student9972,A2016/Z4/Z2/student9538,99,99,99,92,0
99,A2016/Z4/Z2/student3116,A2016/Z4/Z2/student8631,99,99,99,113,1
99,A2016/Z4/Z2/student3258,A2016/Z4/Z2/student5488,99,99,99,177,0
99,A2016/Z4/Z2/student4804,A2016/Z4/Z2/student2508,99,99,99,171,0
99,A2016/Z4/Z2/student1547,A2016/Z4/Z2/student2749,99,99,99,167,1
99,A2016/Z4/Z2/student4473,A2016/Z4/Z2/student1453,99,99,99,182,0
99,A2016/Z4/Z2/student8264,A2016/Z4/Z2/student6029,99,99,99,176,0
99,A2016/Z4/Z2/student8532,A2016/Z4/Z2/student3186,99,99,99,292,0
99,A2016/Z4/Z2/student8004,A2016/Z4/Z2/student5468,99,99,99,132,0
99,A2016/Z4/Z2/student2160,A2016/Z4/Z2/student3841,99,99,99,101,0
99,A2016/Z4/Z1/student2463,A2016/Z4/Z1/student5222,99,99,99,91,0
99,A2016/Z4/Z2/student3133,A2016/Z4/Z2/student4824,99,99,99,63,0
99,A2016/Z4/Z3/student3900,A2016/Z4/Z3/student7802,99,99,99,149,0
99,A2016/Z4/Z3/student7125,A2016/Z4/Z3/student2254,99,99,99,125,0
99,A2016/Z4/Z3/student1192,A2016/Z4/Z3/student8357,99,99,99,137,0
99,A2016/Z4/Z3/student4473,A2016/Z4/Z3/student1453,99,99,99,145,0
99,A2016/Z4/Z2/student4639,A2016/Z4/Z2/student4416,99,99,99,62,0
99,A2016/Z4/Z2/student1192,A2016/Z4/Z2/student7085,99,99,99,85,0
99,A2016/Z4/Z2/student2463,A2016/Z4/Z2/student5222,99,99,99,69,0
99,A2016/Z4/Z2/student4237,A2016/Z4/Z2/student8797,99,99,99,84,0
99,A2016/Z4/Z2/student6720,A2016/Z4/Z2/student4628,99,99,99,97,0
99,A2016/Z4/Z2/student5744,A2016/Z4/Z2/student2675,99,99,99,86,0
99,A2016/Z4/Z2/student8518,A2016/Z4/Z2/student9821,99,99,99,83,0
99,A2016/Z4/Z2/student6410,A2016/Z4/Z2/student4814,99,99,99,57,0
99,A2016/Z4/Z2/student3301,A2016/Z4/Z2/student2526,99,99,99,98,0
99,A2016/Z4/Z2/student5957,A2016/Z4/Z2/student6550,99,99,99,71,0
