label,filename0,filename1,percent,percent0,percent1,lines,plagiarized
99,A2016/Z4/Z4/student2464,A2016/Z4/Z4/student2676,99,99,99,225,0
99,A2016/Z3/Z1/student4082,A2016/Z3/Z1/student7597,99,99,99,48,0
99,A2016/Z2/Z2/student8986,A2016/Z2/Z2/student1494,99,99,99,158,0
99,A2016/Z2/Z2/student3301,A2016/Z2/Z2/student1976,99,99,99,54,0
99,A2016/Z1/Z3/student5263,A2016/Z1/Z3/student2652,99,99,99,40,0
99,A2016/Z1/Z3/student7507,A2016/Z1/Z3/student5162,99,99,99,39,0
99,A2016/Z2/Z2/student7125,A2016/Z2/Z2/student2254,99,99,99,85,0
99,A2016/Z2/Z2/student3701,A2016/Z2/Z2/student2486,99,99,99,110,0
99,A2016/Z1/Z3/student5621,A2016/Z1/Z3/student7255,99,99,99,39,0
99,A2016/Z2/Z2/student5529,A2016/Z2/Z2/student6571,99,99,99,79,0
99,A2016/Z1/Z3/student3978,A2016/Z1/Z3/student5829,99,99,99,59,0
99,A2016/Z2/Z2/student9569,A2016/Z2/Z2/student3515,99,99,99,115,0
99,A2016/Z2/Z2/student9569,A2016/Z2/Z2/student1738,99,99,99,124,1
99,A2016/Z3/Z1/student2900,A2016/Z3/Z1/student4036,99,99,99,39,0
99,A2016/Z3/Z1/student4554,A2016/Z3/Z1/student3856,99,99,99,36,1
99,A2016/Z3/Z1/student8532,A2016/Z3/Z1/student3186,99,99,99,40,0
99,A2016/Z1/Z3/student2160,A2016/Z1/Z3/student8189,99,99,99,44,0
99,A2016/Z1/Z3/student2197,A2016/Z1/Z3/student4155,99,99,99,45,1
99,A2016/Z1/Z3/student2567,A2016/Z1/Z3/student9897,99,99,99,61,0
99,A2016/Z1/Z3/student2821,A2016/Z1/Z3/student2197,99,99,99,45,1
99,A2016/Z1/Z3/student2821,A2016/Z1/Z3/student2886,99,99,99,45,0
99,A2016/Z1/Z3/student2821,A2016/Z1/Z3/student4155,99,99,99,41,1
99,A2016/Z1/Z3/student2886,A2016/Z1/Z3/student2197,99,99,99,45,0
99,A2016/Z1/Z3/student2755,A2016/Z1/Z3/student6419,99,99,99,52,0
99,A2016/Z3/Z3/student8264,A2016/Z3/Z3/student3136,99,99,99,63,0
99,A2016/Z1/Z3/student7119,A2016/Z1/Z3/student4128,99,99,99,36,0
99,A2016/Z4/Z2/student9315,A2016/Z4/Z2/student4766,99,99,99,155,0
99,A2016/Z4/Z2/student3301,A2016/Z4/Z2/student2526,99,99,99,98,0
99,A2016/Z4/Z2/student5957,A2016/Z4/Z2/student6550,99,99,99,71,0
99,A2016/Z4/Z2/student4237,A2016/Z4/Z2/student8797,99,99,99,84,0
99,A2016/Z4/Z2/student2160,A2016/Z4/Z2/student3841,99,99,99,101,0
99,A2016/Z4/Z2/student3116,A2016/Z4/Z2/student8631,99,99,99,113,1
99,A2016/Z4/Z2/student8004,A2016/Z4/Z2/student5468,99,99,99,132,0
99,A2016/Z4/Z2/student4082,A2016/Z4/Z2/student7597,99,99,99,98,0
99,A2016/Z4/Z2/student2351,A2016/Z4/Z2/student7180,99,99,99,130,0
99,A2016/Z4/Z2/student2267,A2016/Z4/Z2/student5403,99,99,99,120,0
99,A2016/Z4/Z2/student2142,A2016/Z4/Z2/student5961,99,99,99,133,0
99,A2016/Z4/Z2/student8532,A2016/Z4/Z2/student3186,99,99,99,292,0
99,A2016/Z4/Z2/student9463,A2016/Z4/Z2/student4389,99,99,99,117,0
99,A2016/Z4/Z2/student7125,A2016/Z4/Z2/student2254,99,99,99,165,0
99,A2016/Z4/Z2/student9972,A2016/Z4/Z2/student9538,99,99,99,92,0
99,A2016/Z1/Z3/student6874,A2016/Z1/Z3/student9864,99,99,99,26,0
99,A2016/Z4/Z2/student3258,A2016/Z4/Z2/student5488,99,99,99,177,0
99,A2016/Z4/Z2/student4804,A2016/Z4/Z2/student2508,99,99,99,171,0
99,A2016/Z4/Z2/student1547,A2016/Z4/Z2/student2749,99,99,99,167,1
99,A2016/Z4/Z2/student4473,A2016/Z4/Z2/student1453,99,99,99,182,0
99,A2016/Z4/Z2/student8264,A2016/Z4/Z2/student6029,99,99,99,176,0
99,A2016/Z1/Z3/student2886,A2016/Z1/Z3/student4155,99,99,99,45,0
99,A2016/Z1/Z3/student6042,A2016/Z1/Z3/student7080,99,99,99,48,0
99,A2016/Z4/Z4/student9163,A2016/Z4/Z4/student7193,99,99,99,104,0
99,A2016/Z2/Z2/student3515,A2016/Z2/Z2/student1738,99,99,99,124,0
99,A2016/Z3/Z1/student6547,A2016/Z3/Z1/student6723,99,99,99,48,0
99,A2016/Z3/Z1/student9463,A2016/Z3/Z1/student4389,99,99,99,40,0
99,A2016/Z1/Z3/student6776,A2016/Z1/Z3/student8357,99,99,99,47,1
99,A2016/Z1/Z3/student6776,A2016/Z1/Z3/student9805,99,99,99,47,1
99,A2016/Z1/Z3/student9805,A2016/Z1/Z3/student8357,99,99,99,41,1
99,A2016/Z1/Z3/student2111,A2016/Z1/Z3/student7165,99,99,99,75,0
99,A2016/Z1/Z3/student4456,A2016/Z1/Z3/student5789,99,99,99,62,0
99,A2016/Z3/Z1/student2464,A2016/Z3/Z1/student2676,99,99,99,48,0
99,A2016/Z1/Z3/student1188,A2016/Z1/Z3/student8199,99,99,99,92,0
99,A2016/Z1/Z3/student5573,A2016/Z1/Z3/student4420,99,99,99,93,1
99,A2016/Z3/Z1/student6497,A2016/Z3/Z1/student1424,99,99,99,43,0
